"","file_csv","gscholar_id","group_start","papers_name","title","subtitle","sortby","image","path","paper_name","destination","papers_end"
"1","people/anahit_hovhannisyan_pubs.csv",NA,"2018","A Hovhannisyan",NA,NA,NA,NA,NA,NA,NA,"2026"
"2","people/andrea_manica_pubs.csv","v8V058QAAAAJ","1998","A Manica",NA,NA,NA,NA,NA,NA,NA,"2026"
"3","people/andrea_pozzi_pubs.csv",NA,"1998","AV Pozzi",NA,NA,NA,NA,NA,NA,NA,"2026"
"4","people/cecilia_padilla_pubs.csv","bQ8MC9AAAAAJ","2024","C Padilla-Iglesias",NA,NA,NA,NA,NA,NA,NA,"2026"
"5","people/dominik_jud_pubs.csv","1l9QfeYAAAAJ","2025","DC Jud",NA,NA,NA,NA,NA,NA,NA,"2026"
"6","people/eirlys_tysall_pubs.csv",NA,"1998","EE Tysall",NA,NA,NA,NA,NA,NA,NA,"2026"
"7","people/eleanor_williams_pubs.csv",NA,"2025","EM Williams",NA,NA,NA,NA,NA,NA,NA,"2026"
"8","people/elizabeth _pearmain_pubs.csv",NA,"1998",NA,NA,NA,NA,NA,NA,NA,NA,"2026"
"9","people/evie_carter_pubs.csv",NA,"1998","EJ Carter",NA,NA,NA,NA,NA,NA,NA,"2026"
"10","people/holly_pickett_pubs.csv",NA,"2025","H Pickett",NA,NA,NA,NA,NA,NA,NA,"2026"
"11","people/james_lea_pubs.csv",NA,"2019","JSE Lea",NA,NA,NA,NA,NA,NA,NA,"2026"
"12","people/marco_vidal_cordasco_pubs.csv",NA,"2026","M Vidal-Cordasco",NA,NA,NA,NA,NA,NA,NA,"2026"
"13","people/margherita_colucci_pubs.csv",NA,"2021","M Colucci",NA,NA,NA,NA,NA,NA,NA,"2026"
"14","people/michela_leonardi_pubs.csv",NA,"1998","M Leonardi",NA,NA,NA,NA,NA,NA,NA,"2026"
"15","people/michelle_parker_pubs.csv",NA,"2018","M Parker",NA,NA,NA,NA,NA,NA,NA,"2026"
"16","people/nina_baranduin_pubs.csv",NA,"2024","N Baranduin",NA,NA,NA,NA,NA,NA,NA,"2026"
"17","people/ondrej_pelanek_pubs.csv",NA,"1998",NA,NA,NA,NA,NA,NA,NA,NA,"2026"
"18","people/paul_whitelaw_pubs.csv",NA,"1998",NA,NA,NA,NA,NA,NA,NA,NA,"2026"
"19","people/alumni/zhe_xue_pubs.csv","n53QNesAAAAJ","2021","Z Xue",NA,NA,NA,NA,NA,NA,NA,"2026"
"20",NA,NA,"2022","NP Stephenson","Nile Stephenson","JRF (Shared with the Deep Time Group) - Coral reef community ecology","Stephenson Nile","people/nile_stephenson.jpg","https://www.zoo.cam.ac.uk/directory/nile-stephenson",NA,NA,"2026"
"21",NA,NA,"2023",NA,"Aramish Fatima","PhD student (Based in the Vertebrate Palaeontology Group) -Gharial ecology","Fatima Aramish","people/aramish_fatima.jpg","https://www.zoo.cam.ac.uk/directory/aramish-fatima",NA,NA,"2026"
"22",NA,NA,"2025",NA,"Ayaka Umeda Paul","PhD student (Based in the Deep Time Group) - Octocoral community ecology","Paul Ayaka","people/ayaka_paul.jpg","https://www.zoo.cam.ac.uk/directory/ayaka-umeda-paul",NA,NA,"2026"
"23",NA,NA,"2025",NA,"Cassandra Gunasekaram","Visiting PhD student (Based in Zurich) - Evolution of culture in chimpanzees","Gunasekaram Cassandra","people/cassandra_gunasekaram.jpg",NA,"C Gunasekaram",NA,"2026"
"24",NA,NA,"2024",NA,"Arthur Matte","PhD student (Based in the LeBoeuf Lab) - Evolution of socially transferred materials","Matte Arthur","people/arthur_matte.jpg","https://www.zoo.cam.ac.uk/directory/arthur-matte","A Matte",NA,"2026"
"25",NA,NA,"2025",NA,"James McCulloch","PhD student (Based at the Sanger Institute) - Population genomics of springtails","McCulloch James","people/james_mcculloch.jpeg","https://www.sanger.ac.uk/person/mcculloch-james/",NA,NA,"2026"
"26",NA,NA,"2026",NA,"Tegan Foister","Postdoc (Based in Tuebingen) - Human evolution in the last 1M years","Foister Tegan","people/tegan_foister.jpg","https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/geowissenschaften/arbeitsgruppen/geo-und-umweltnaturwissenschaften/geo-und-umweltnaturwissenschaften/biogeologie/arbeitsgruppe/team/dr-tegan-foister/&ved=2ahUKEwjN-fjY2bOUAxVRZ0EAHWxsLt8QFnoECCkQAQ&usg=AOvVaw26f5TEekcFjKa4krx4RGOj",NA,NA,"2026"
"27",NA,NA,"1998","LK Bentley","Lily Bentley","PhD student","Bentley Lily",NA,NA,NA,"Postdoc at the University of Queensland, Australia","2026"
"28",NA,NA,"1998","AS Bonnet-Lebrun","Anne-Sophie Bonnet-Lebrun","PhD student","Bonnet-Lebrun Anne-Sophie",NA,NA,NA,"Postdoc at MARE, Lisbon, Portugal","2026"
"29",NA,NA,"1998","R Beyer; RM Beyer","Robert Beyer","Postdoc","Beyer Robert",NA,NA,NA,"Marie Curie fellow in Berlin, Germany","2026"
"30",NA,NA,"1998","TA Clay","Tommy Clay","PhD Student","Clay Tommy",NA,NA,NA,"Postdoc at Liverpool University, UK","2026"
"31",NA,NA,"1998","DR Daversa","Dave Daversa","PhD student","Daversa Dave",NA,NA,NA,"Postdoc at Liverpool University, UK","2026"
"32",NA,NA,"1998","A Eriksson","Anders Eriksson","Postdoc","Eriksson Anders",NA,NA,NA,"Lecturer at King's College London, UK","2026"
"33",NA,NA,"1998","CK Frankish","Caitlin Frankish","PhD student","Frankish Caitlin",NA,NA,NA,"Postdoc at Aarhus University, Denmark","2026"
"34",NA,NA,"1998","WE Feeney","Will Feeney","Postdoc - visiting","Feeney Will",NA,NA,NA,"Research Fellow at University of Queensland, Australia","2026"
"35",NA,NA,"1998","M Gallego-Llorente","Marco Gallego Llorente","PhD student","Gallego Llorente Marco",NA,NA,NA,"Innovation consultant with Cambridge Innovation Consulting, UK","2026"
"36",NA,NA,"1998","JW Jolles","Jolle Jolles","PhD student","Jolles Jolle",NA,NA,NA,"Postdoc at the Max Planck Institute in Konstanz, Germany","2026"
"37",NA,NA,"1998","ER Jones","Eppie Jones","Postdoc - Herchel Smith Fellow","Jones Eppie",NA,NA,NA,"Bioinformatician at Genomics Medicine, Ireland","2026"
