"title","author","journal","number","cites","year","cid","pubid","id","url"
"Demographic history and genetic variation of the Armenian population","A Hovhannisyan, PM Delser, A Hakobyan, ER Jones, JG Schraiber, M Antonosyan, A Margaryan, Z Xue, S Jeon, J Bhak, P Hrechdakian, H Sahakyan, L Saag, Z Khachatryan, L Yepiskoposyan, A Manica","The American Journal of Human Genetics","112 (1), 11-27",0,2025,NA,"4aZ_i-5WJEQC","v8V058QAAAAJ","https://www.cell.com/ajhg/fulltext/S0002-9297(24)00391-4"
"The influence of reproductive mode on resource competition and diversity patterns in Ediacaran early animal communities","EG Mitchell, A Manica","bioRxiv","2025.01. 08.632049",0,2025,NA,"YB4bud6kWLwC","v8V058QAAAAJ","https://www.biorxiv.org/content/10.1101/2025.01.08.632049.abstract"
"Population connectivity shapes the distribution and complexity of chimpanzee cumulative culture","C Gunasekaram, F Battiston, O Sadekar, C Padilla-Iglesias, MAv Noordwijk, R Furrer, A Manica, J Bertranpetit, A Whiten, CPv Schaik, L Vinicius, AB Migliano","Science","386 (6724), 920-925",2,2024,"11878172707693058427,15912910948260405652","KWzIFqRkAKkC","v8V058QAAAAJ","https://www.science.org/doi/abs/10.1126/science.adk3381"
"tidysdm: Leveraging the flexibility of tidymodels for species distribution modelling in R","M Leonardi, M Colucci, AV Pozzi, EML Scerri, A Manica","Methods in Ecology and Evolution","15 (10), 1789-1795",4,2024,"13403737529769795815","eGYfIraVYiQC","v8V058QAAAAJ","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.14406"
"Comprehensive Husbandry Protocol for Corydoras Catfish and Many Other Amazonian Species","A Chiang, SS Haine, R Goldring, A Jungwirth, M Siddiqui, G Wilkinson, A Manica, RJ Riley","Journal of the American Association for Laboratory Animal Science","63 (5 …",0,2024,NA,"NMlhSUseqAsC","v8V058QAAAAJ","https://www.ingentaconnect.com/content/aalas/jaalas/2024/00000063/00000005/art00008"
"More is not always better: downscaling climate model outputs from 30 to 5-minute resolution has minimal impact on coherence with Late Quaternary proxies","L Timbrell, J Blinkhorn, M Colucci, M Leonardi, M Chevalier, M Grove, E Scerri, A Manica","Climate of the Past Discussions","2024, 1-21",3,2024,"12301544384485899183","zwpXiJ37cpgC","v8V058QAAAAJ","https://cp.copernicus.org/preprints/cp-2024-53/"
"Network analyses on photographic surveys reveal that invertebrate predators do not structure epibenthos in the deep (~ 2000m) rocky Powell Basin, Weddell Sea, Antarctica","TM Khan, HJ Griffiths, RJ Whittle, NP Stephenson, KM Delahooke, A Purser, A Manica, EG Mitchell","Frontiers in Marine Science","11, 1408828",0,2024,NA,"c1e4I3QdEKYC","v8V058QAAAAJ","https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2024.1408828/full"
"Morphology shapes community dynamics in early animal ecosystems","NP Stephenson, KM Delahooke, N Barnes, BWT Rideout, CG Kenchington, A Manica, EG Mitchell","Nature Ecology & Evolution","1-10",2,2024,"18189913718047015597,5824297072857840797","z6xuaG2dYH0C","v8V058QAAAAJ","https://www.nature.com/articles/s41559-024-02422-8"
"52,000 years of woolly rhinoceros population dynamics reveal extinction mechanisms","DA Fordham, SC Brown, E Canteri, JJ Austin, MV Lomolino, S Haythorne, E Armstrong, Hé Bocherens, A Manica, A Rey-Iglesia, C Rahbek, D Nogués-Bravo, ED Lorenzen","Proceedings of the National Academy of Sciences","121 (24), e2316419121",5,2024,"6120110402513732513,10627664639932838983","-6RzNnnwWf8C","v8V058QAAAAJ","https://www.pnas.org/doi/abs/10.1073/pnas.2316419121"
"Habitat preferences of Phoebetria albatrosses in sympatry and allopatry","LK Bentley, RA Phillips, T Carpenter‐Kling, RJM Crawford, RJ Cuthbert, K Delord, BJ Dilley, AB Makhado, PI Miller, S Oppel, PA Pistorius, PG Ryan, S Schoombie, H Weimerskirch, A Manica","Journal of Biogeography","",2,2024,"12273933809433148210","T_ojBgVMvoEC","v8V058QAAAAJ","https://onlinelibrary.wiley.com/doi/abs/10.1111/jbi.14966"
"Deep history of cultural and linguistic evolution among Central African hunter-gatherers","C Padilla-Iglesias, J Blanco-Portillo, B Pricop, AG Ioannidis, B Bickel, A Manica, L Vinicius, AB Migliano","Nature Human Behaviour","1-13",9,2024,"16895888887418926799","eAlLMO4JVmQC","v8V058QAAAAJ","https://www.nature.com/articles/s41562-024-01891-y"
"The environmental context of the Middle-to-Late Stone Age Transition in eastern Africa: seasonality as a key factor","M Fusco, B Habte, A Leplongeon, C Menard, A Manica, EE Spinapolice, M Leonardi","BioRXiv","2024.12. 09.627606",0,2024,NA,"G1UMdFYMoxkC","v8V058QAAAAJ","https://www.biorxiv.org/content/10.1101/2024.12.09.627606.abstract"
"Low-ABC: a robust demographic Inference from low-coverage whole-genome data through ABC","MT Vizzari, S Ghirotto, RB Agostini, PM Delser, L Cassidy, A Manica, A Benazzo","bioRxiv","2024.08. 01.606209",0,2024,NA,"CNPyR2KL9-0C","v8V058QAAAAJ","https://www.biorxiv.org/content/10.1101/2024.08.01.606209.abstract"
"The Acheulean niche: climate and ecology predict handaxe production in Europe","M Leonardi, SJ Lycett, A Manica, A Key","bioRxiv","2024.07. 19.604259",0,2024,NA,"EsEWqaRxkBgC","v8V058QAAAAJ","https://www.biorxiv.org/content/10.1101/2024.07.19.604259.abstract"
"Parental care shapes the evolution of molecular genetic variation","R Mashoodh, AT Trowsdale, A Manica, RM Kilner","Evolution Letters","7 (6), 379-388",4,2023,"14334096474882321260","2v_ZtQDX9iAC","v8V058QAAAAJ","https://academic.oup.com/evlett/article-abstract/7/6/379/7260563"
"Global assessment of marine plastic exposure risk for oceanic birds","BL Clark, APB Carneiro, EJ Pearmain, M-M Rouyer, TA Clay, W Cowger, RA Phillips, A Manica, C Hazin, M Eriksen, J González-Solís, J Adams, YV Albores-Barajas, J Alfaro-Shigueto, MS Alho, DT Araujo, JéM Arcos, JPY Arnould, NJP Barbosa, C Barbraud, AM Beard, J Beck, EA Bell, DG Bennet, M Berlincourt, M Biscoito, OK Bjørnstad, M Bolton, KAB Jones, JJ Borg, K Bourgeois, V Bretagnolle, Jël Bried, JV Briskie, MdL Brooke, KC Brownlie, L Bugoni, L Calabrese, L Campioni, MJ Carey, RD Carle, N Carlile, AR Carreiro, P Catry, T Catry, JG Cecere, FR Ceia, Y Cherel, C-Y Choi, M Cianchetti-Benedetti, RH Clarke, JB Cleeland, V Colodro, BC Congdon, Jóh Danielsen, FD Pascalis, Z Deakin, N Dehnhard, G Dell’Omo, K Delord, Séb Descamps, BJ Dilley, HA Dinis, J Dubos, BJ Dunphy, LM Emmerson, AI Fagundes, AL Fayet, JJ Felis, JH Fischer, AND Freeman, A Fromant, G Gaibani, D García, C Gjerdrum, ISGçaC Gomes, MG Forero, JéP Granadeiro, WJ Grecian, D Grémillet, T Guilford, GT Hallgrimsson, LR Halpin, ESær Hansen, A Hedd, M Helberg, HH Helgason, LM Henry, HFR Hereward, M Hernandez-Montero, MA Hindell, PJ Hodum, S Imperio, A Jaeger, M Jessopp, PGR Jodice, CG Jones, CW Jones, JónE Jónsson, A Kane, S Kapelj, Y Kim, H Kirk, Y Kolbeinsson, PL Kraemer, L Krüger, P Lago, TJ Landers, JL Lavers, ML Corre, A Leal, M Louzao, J Madeiros, M Magalhães, ML Mallory, JF Masello, B Massa, S Matsumoto, F McDuie, LMF Tranquilla, F Medrano, BJ Metzger, T Militão, WA Montevecchi, RC Montone, L Navarro-Herrero, VónC Neves, DG Nicholls, MAC Nicoll, K Norris, S Oppel, D Oro, E Owen, O Padget, VítH Paiva, D Pala, JM Pereira, C Péron, MV Petry, Ad Pina, ATM Pina, P Pinet, PA Pistorius, IL Pollet, BJ Porter, TéeA Poupart, CDL Powell, CB Proaño, Júl Pujol-Casado, P Quillfeldt","Nature communications","14 (1), 3665",45,2023,"6337110098821775624","kJDgFkosVoMC","v8V058QAAAAJ","https://www.nature.com/articles/s41467-023-38900-z"
"Divergent foraging habitat preferences between summer‐breeding and winter‐breeding Procellaria petrels","LK Bentley, A Manica, BJ Dilley, PG Ryan, RA Phillips","Ibis","165 (2), 618-628",1,2023,"5272878300962020848","sA9dB-pw3HoC","v8V058QAAAAJ","https://onlinelibrary.wiley.com/doi/abs/10.1111/ibi.13152"
"Human interactions with tropical environments over the last 14,000 years at Iho Eleru, Nigeria","JNò Cerasoni, EY Hallett, EA Orijemie, K Ashastina, M Lucas, L Farr, A Höhn, CA Kiahtipes, J Blinkhorn, P Roberts, A Manica, EML Scerri","Iscience","26 (3)",8,2023,"9699263634067969953,14533577045554777701","-DxkuPiZhfEC","v8V058QAAAAJ","https://www.cell.com/iscience/fulltext/S2589-0042(23)00230-4"
"pastclim 1.2: an R package to easily access and use paleoclimatic reconstructions","M Leonardi, EY Hallett, R Beyer, M Krapp, A Manica","Ecography","2023 (3), e06481",31,2023,"10829274316117311838,3602859555611355115,7854427202956116208","An6A6Jpfc1oC","v8V058QAAAAJ","https://nsojournals.onlinelibrary.wiley.com/doi/abs/10.1111/ecog.06481"
"Niche conservatism in a generalist felid: low differentiation of the climatic niche among subspecies of the leopard (Panthera pardus)","S Leedham, JLA Paijmans, A Manica, M Leonardi","bioRxiv","2023.01. 26.525491",1,2023,"15199458795214081553","v6i8RKmR8ToC","v8V058QAAAAJ","https://www.biorxiv.org/content/10.1101/2023.01.26.525491.abstract"
"The Influence of Stoloniferous Reproduction on Ediacaran Eco-Evolutionary Dynamics","E Mitchell, A Manica","Geological Society of America Abstracts","55, 390870",0,2023,NA,"Zh0EY9V9P6UC","v8V058QAAAAJ","https://ui.adsabs.harvard.edu/abs/2023GSAA...5590870M/abstract"
"Global assessment of marine plastic exposure risk for oceanic birds","山本誉士","Nature Communications","",0,2023,NA,"-uzm3Y7AvW0C","v8V058QAAAAJ","https://cir.nii.ac.jp/crid/1010298668284798464"
"ngsLCA—A toolkit for fast and flexible lowest common ancestor inference and taxonomic profiling of metagenomic data","Y Wang, TS Korneliussen, LE Holman, A Manica, MW Pedersen","Methods in Ecology and Evolution","13 (12), 2699-2708",17,2022,"7258370152367368443","silx2ntsSuwC","v8V058QAAAAJ","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.14006"
